"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006397","GO:0006397","mRNA processing","180/3831","488/17468",1.79199817427256e-14,1.09580688356767e-10,9.0448749954073e-11,"HNRNPM/YBX1/CELF2/ZPR1/PPIL1/PRMT5/PRPF38A/HSPA8/ALKBH5/RRP1B/CCNB1/WDR77/SF3B3/SF3A1/PRKACA/SF3B4/RBM8A/RBFOX2/PRPF8/PABPC1/PPP1R8/KHSRP/AHCYL1/HNRNPR/RBM22/NONO/GRSF1/SCAF1/POLR2F/PQBP1/SNRPD3/SRSF9/EFTUD2/RBM15/SRSF6/SSU72/SNRPC/ZNF326/RNPC3/ALYREF/RBM42/YJU2/C1QBP/DNAJC8/MBNL2/CCAR2/SMU1/HNRNPA3/SF1/PRPF6/ZFP36L1/RNF20/U2AF2/TFIP11/HNRNPL/RBM27/SNRNP200/ERCC2/HNRNPF/HNRNPUL1/PUF60/HNRNPA0/RNF40/TENT2/ACIN1/HNRNPH2/MBNL1/PRPF3/POLR2E/RBM17/POLR2L/MBNL3/SARNP/PABPN1/PHRF1/XRN2/SF3A3/SNRPB/CD2BP2/HNRNPU/FASTKD5/FUS/RBM24/DHX16/ELAVL1/HTATSF1/TRUB2/CIR1/POLR2G/NCBP1/CCNH/SNU13/CPSF2/KHDRBS1/POLDIP3/PPP4R2/THOC3/ADAR/CTNNBL1/RBM39/POLR2J/AKAP17A/ZMAT2/SFSWAP/PRDX6/DDX5/LSM7/CPSF7/PNN/LSM3/PPARGC1A/PCBP2/POLR2I/CSTF2/PDE12/CASC3/CSTF3/DDX23/CCNT1/NBDY/HNRNPA1/CCAR1/SNRNP48/SNUPN/RNF113A/CDK12/CWC15/SRRT/NUP98/ELAVL2/ZCCHC8/RBM23/RPUSD3/PTBP1/ZBTB7A/SNRNP70/PNPT1/PRCC/CMTR1/RBM20/GTF2H1/SNRPG/LSM2/RNU2-1/LSM5/SNRNP25/DHX38/ERN1/RBM15B/RBM27/LSM4/TSEN34/CELF4/DDX1/PABPC1L/THOC6/DDX47/HSF1/THRAP3/CPSF6/TUT1/LSM11/APP/PRMT7/GEMIN7/SNRPD1/PRPF19/POLR2D/RBM11/SNRPD2/CLNS1A/RBM10/TSEN54/RALY/PDCD11/POLR2C/CLASRP/PTBP2/SF3B2/SNRNP40",180
"GO:0006401","GO:0006401","RNA catabolic process","144/3831","368/17468",3.76973020848044e-14,1.15259501124289e-10,9.51360860508616e-11,"MOV10/HSPA1A/HSPA1B/BTG2/YBX1/NT5C3B/APEX1/ZPR1/HSPA8/DIS3L/RPSA/ALKBH5/TOB1/IGF2BP1/PSMD1/PSMD11/DHX34/RBM8A/HSPB1/PABPC1/PPP1R8/MTOR/KHSRP/HNRNPR/CNOT9/SMG6/EXOSC10/EDC4/PSME3/EIF4G1/PSMD2/SET/PSMC1/PSMB2/PATL1/YWHAZ/DDX6/ZFP36L1/IGF2BP2/LARP1/PSMA7/CNOT7/CNOT11/HNRNPA0/SMG9/PSMA4/TRIR/TENT2/PSMC2/PSMB7/RPL9/CSDE1/PSMD3/ATM/ZHX2/PPP2CA/PSMD10/SECISBP2/PSMC3/GDNF/RPL23A/PSMB4/XRN2/RNH1/HNRNPU/RBM24/ELAVL1/PPP2R1A/CARHSP1/UBC/PSMB10/EXOSC3/NCBP1/RPS18/TUT7/RPS17/PSME1/PSMC4/PSMB6/DDX5/ANGEL2/SMG7/LSM7/LSM3/AGO1/ZFP36/PSMB5/TNPO1/RNASEH2A/PSMD9/ANP32A/XRN1/YWHAB/PSMB3/DXO/PDE12/PSME4/ROCK1/DKC1/RPS15A/CASC3/SSB/NBDY/WDR61/POP1/PSMC5/RPL17/TIRAP/FEN1/RNASEH1/PNPT1/ZC3H12A/DNA2/RPL10A/AKT1/RPL13/LSM2/LSM5/RPL12/RPL26/RNASET2/ERN1/LSM4/XPO1/E2F1/PSMA6/RNASEH2C/RPS26/NANOS1/RPL6/THRAP3/CIRBP/PSMB1/PRKCA/PUM2/PAIP1/CNOT3/RBM10/VIM/MLH1/RPL3/UBA52/PSMA3/SUPV3L1",144
"GO:0008380","GO:0008380","RNA splicing","160/3831","427/17468",1.14169568213431e-13,2.3271563654171e-10,1.92085291081895e-10,"HSPA1A/HNRNPM/YBX1/IVNS1ABP/CELF2/CLK1/ZPR1/PPIL1/PRMT5/PRPF38A/HSPA8/RRP1B/AHNAK/WDR77/SF3B3/SF3A1/SF3B4/RBM8A/RBFOX2/PRPF8/PABPC1/PPP1R8/KHSRP/HNRNPR/RBM22/NONO/SCAF1/POLR2F/PQBP1/SNRPD3/FASTK/USB1/SRSF9/EFTUD2/RBM15/SRSF6/SNRPC/ZNF326/RNPC3/ALYREF/RBM42/YJU2/C1QBP/DNAJC8/MBNL2/CCAR2/SMU1/HNRNPA3/SF1/PRPF6/U2AF2/TFIP11/HNRNPL/SNRNP200/HNRNPF/RBM38/HNRNPUL1/PUF60/HNRNPA0/ACIN1/HNRNPH2/MBNL1/TMBIM6/PPP2CA/PRPF3/POLR2E/RBM17/POLR2L/MBNL3/PABPN1/SF3A3/SNRPB/CD2BP2/HNRNPU/FUS/RBM24/DHX16/ELAVL1/PPP2R1A/HTATSF1/CIR1/POLR2G/NCBP1/LUC7L3/SNU13/CPSF2/KHDRBS1/MPHOSPH10/RRAGC/PPP4R2/THOC3/CTNNBL1/RBM39/POLR2J/AKAP17A/ZMAT2/SFSWAP/PRDX6/DDX5/LSM7/CPSF7/PNN/LSM3/PPARGC1A/PCBP2/POLR2I/CSTF2/CASC3/CSTF3/DDX23/HNRNPA1/CCAR1/SNRNP48/SNUPN/RNF113A/CDK12/CWC15/SRRT/NUP98/ELAVL2/RTRAF/ZCCHC8/PTBP1/ZBTB7A/SNRNP70/PRCC/RBM20/SNRPG/LSM2/RNU2-1/LSM5/TRPT1/SNRNP25/DHX38/ERN1/RBM15B/LSM4/TSEN34/CELF4/DDX1/THOC6/DDX47/RPS26/THRAP3/PRMT7/GEMIN7/SNRPD1/PRPF19/POLR2D/RBM11/SNRPD2/CLNS1A/RBM10/TSEN54/RALY/POLR2C/CLASRP/PTBP2/SF3B2/SNRNP40",160
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","113/3831","275/17468",5.0305467898167e-13,7.69044840493228e-10,6.34775575188713e-10,"MOV10/HSPA1A/BTG2/YBX1/APEX1/HSPA8/ALKBH5/TOB1/IGF2BP1/CCNB1/PSMD1/PSMD11/DHX34/RBM8A/HSPB1/RBFOX2/PABPC1/MTOR/KHSRP/AHCYL1/HNRNPR/PSME3/EIF4G1/SRSF9/RBM15/PSMD2/SRSF6/SET/PSMC1/RBM42/C1QBP/PSMB2/YWHAZ/SMU1/ZFP36L1/IGF2BP2/LARP1/RNF20/U2AF2/HNRNPL/PSMA7/CNOT7/HNRNPA0/RNF40/PSMA4/PSMC2/PSMB7/PSMD3/PSMD10/SECISBP2/PSMC3/GDNF/PSMB4/PABPN1/HNRNPU/RBM24/ELAVL1/CARHSP1/UBC/PSMB10/EXOSC3/NCBP1/KHDRBS1/SFSWAP/PSME1/PSMC4/PRDX6/PSMB6/DDX5/ANGEL2/CPSF7/ZFP36/PSMB5/TNPO1/PSMD9/ANP32A/XRN1/YWHAB/PSMB3/PDE12/PSME4/ROCK1/CCNT1/HNRNPA1/NUP98/PSMC5/PTBP1/TIRAP/ZBTB7A/SNRNP70/PNPT1/ZC3H12A/AKT1/RBM15B/XPO1/CELF4/E2F1/PSMA6/NANOS1/HSF1/THRAP3/CPSF6/CIRBP/PSMB1/PRKCA/PRPF19/PUM2/RBM11/PAIP1/RBM10/VIM/UBA52/PSMA3",113
"GO:0006914","GO:0006914","autophagy","171/3831","474/17468",7.57079741623516e-13,7.715904366713e-10,6.3687673001487e-10,"PLK2/VPS33A/DEPP1/ATP6V0E2/ATP6V0D1/XBP1/EEF1A2/ATP6V1G1/UCHL1/HSPA8/FYCO1/VDAC1/PRKACA/RAB1B/WDR6/EIF4G2/ATP6V0C/HSPB8/PIP4K2B/ZMPSTE24/TBC1D5/TOMM6/CHMP4B/HSPB1/ABL2/VPS35/MTOR/CHMP3/EIF4G1/SNX32/MLST8/CDK5/RAB7A/SNF8/ATP6V1C1/SESN2/TBC1D14/GSK3A/ZFYVE1/LAMTOR5/EXOC7/PARK7/LARP1/ATG14/TRIM5/VPS25/GABARAPL1/TOMM22/TRIB3/CTSA/FEZ1/SMCR8/POLDIP2/LAMP2/IFI16/VCP/ATP6V0A2/VPS26A/FBXO7/PGAM5/TMEM173/ATM/SOGA1/TRIM65/TMBIM6/DDIT3/KAT5/KDM4A/LAMTOR1/GOLGA2/USP13/CDC37/TP53INP1/SVIP/RIPK2/IFT88/FIS1/ATP6V0A1/MARK2/TOMM20/VAMP8/CAPNS1/FBXW7/RGS19/TBC1D25/ATG13/RRAGC/ATP5IF1/OPTN/DAPK1/SNAPIN/SNAP29/C19orf12/CTTN/SBF2/TMEM41B/SH3GLB1/BAG3/CLU/VMP1/CSNK2A1/VTI1A/FOXK2/PPARGC1A/BAD/TOMM40/GBA/KIAA1324/YOD1/NBR1/VPS37B/RNF41/ROCK1/FLCN/RRAGD/CSNK2B/UBQLN4/CHMP6/WIPI1/WDR81/LEPR/STX17/SIRT2/ATG16L1/LAMP3/RAB39B/SIRT1/RMC1/SRPX/CDK5R1/MID2/STBD1/SNRNP70/RAB8A/GATA4/ZC3H12A/KLHL3/AKT1/SLC38A9/USP10/TRIM8/IRGM/CPTP/WIPI2/ATG12/ERN1/RALB/TRIM13/LAMTOR4/NUPR1/RNF152/ATP13A2/XPA/WDR41/PLK3/ACBD5/CASP3/HMGB1/DCN/PHF23/HAX1/VPS51/STUB1/LAMTOR3/RAB33B/MAPK15/PIK3CB/LRRK2/PRKAB1/PIP4K2C/NOD1",171
"GO:0061919","GO:0061919","process utilizing autophagic mechanism","171/3831","474/17468",7.57079741623516e-13,7.715904366713e-10,6.3687673001487e-10,"PLK2/VPS33A/DEPP1/ATP6V0E2/ATP6V0D1/XBP1/EEF1A2/ATP6V1G1/UCHL1/HSPA8/FYCO1/VDAC1/PRKACA/RAB1B/WDR6/EIF4G2/ATP6V0C/HSPB8/PIP4K2B/ZMPSTE24/TBC1D5/TOMM6/CHMP4B/HSPB1/ABL2/VPS35/MTOR/CHMP3/EIF4G1/SNX32/MLST8/CDK5/RAB7A/SNF8/ATP6V1C1/SESN2/TBC1D14/GSK3A/ZFYVE1/LAMTOR5/EXOC7/PARK7/LARP1/ATG14/TRIM5/VPS25/GABARAPL1/TOMM22/TRIB3/CTSA/FEZ1/SMCR8/POLDIP2/LAMP2/IFI16/VCP/ATP6V0A2/VPS26A/FBXO7/PGAM5/TMEM173/ATM/SOGA1/TRIM65/TMBIM6/DDIT3/KAT5/KDM4A/LAMTOR1/GOLGA2/USP13/CDC37/TP53INP1/SVIP/RIPK2/IFT88/FIS1/ATP6V0A1/MARK2/TOMM20/VAMP8/CAPNS1/FBXW7/RGS19/TBC1D25/ATG13/RRAGC/ATP5IF1/OPTN/DAPK1/SNAPIN/SNAP29/C19orf12/CTTN/SBF2/TMEM41B/SH3GLB1/BAG3/CLU/VMP1/CSNK2A1/VTI1A/FOXK2/PPARGC1A/BAD/TOMM40/GBA/KIAA1324/YOD1/NBR1/VPS37B/RNF41/ROCK1/FLCN/RRAGD/CSNK2B/UBQLN4/CHMP6/WIPI1/WDR81/LEPR/STX17/SIRT2/ATG16L1/LAMP3/RAB39B/SIRT1/RMC1/SRPX/CDK5R1/MID2/STBD1/SNRNP70/RAB8A/GATA4/ZC3H12A/KLHL3/AKT1/SLC38A9/USP10/TRIM8/IRGM/CPTP/WIPI2/ATG12/ERN1/RALB/TRIM13/LAMTOR4/NUPR1/RNF152/ATP13A2/XPA/WDR41/PLK3/ACBD5/CASP3/HMGB1/DCN/PHF23/HAX1/VPS51/STUB1/LAMTOR3/RAB33B/MAPK15/PIK3CB/LRRK2/PRKAB1/PIP4K2C/NOD1",171
"GO:0006402","GO:0006402","mRNA catabolic process","131/3831","338/17468",1.21690408554262e-12,1.06305264044187e-09,8.77451893259675e-10,"MOV10/HSPA1A/HSPA1B/BTG2/YBX1/NT5C3B/APEX1/HSPA8/RPSA/ALKBH5/TOB1/IGF2BP1/PSMD1/PSMD11/DHX34/RBM8A/HSPB1/PABPC1/MTOR/KHSRP/HNRNPR/CNOT9/SMG6/EXOSC10/EDC4/PSME3/EIF4G1/PSMD2/SET/PSMC1/PSMB2/PATL1/YWHAZ/DDX6/ZFP36L1/IGF2BP2/LARP1/PSMA7/CNOT7/CNOT11/HNRNPA0/SMG9/PSMA4/TENT2/PSMC2/PSMB7/RPL9/CSDE1/PSMD3/ATM/ZHX2/PPP2CA/PSMD10/SECISBP2/PSMC3/GDNF/RPL23A/PSMB4/RNH1/HNRNPU/RBM24/ELAVL1/PPP2R1A/CARHSP1/UBC/PSMB10/EXOSC3/NCBP1/RPS18/TUT7/RPS17/PSME1/PSMC4/PSMB6/DDX5/ANGEL2/SMG7/LSM7/LSM3/AGO1/ZFP36/PSMB5/TNPO1/PSMD9/ANP32A/XRN1/YWHAB/PSMB3/DXO/PDE12/PSME4/ROCK1/RPS15A/CASC3/SSB/NBDY/WDR61/PSMC5/RPL17/TIRAP/PNPT1/ZC3H12A/RPL10A/AKT1/RPL13/LSM2/LSM5/RPL12/RPL26/ERN1/LSM4/XPO1/E2F1/PSMA6/RPS26/NANOS1/RPL6/THRAP3/CIRBP/PSMB1/PRKCA/PUM2/PAIP1/CNOT3/RBM10/VIM/MLH1/RPL3/UBA52/PSMA3/SUPV3L1",131
"GO:0043487","GO:0043487","regulation of RNA stability","76/3831","163/17468",2.0654067080051e-12,1.5787452524314e-09,1.3031085743269e-09,"MOV10/HSPA1A/YBX1/APEX1/HSPA8/ALKBH5/IGF2BP1/PSMD1/PSMD11/HSPB1/PABPC1/MTOR/KHSRP/HNRNPR/PSME3/EIF4G1/PSMD2/SET/PSMC1/PSMB2/YWHAZ/ZFP36L1/IGF2BP2/LARP1/PSMA7/HNRNPA0/PSMA4/TENT2/PSMC2/PSMB7/PSMD3/PSMD10/PSMC3/GDNF/PSMB4/HNRNPU/RBM24/ELAVL1/CARHSP1/UBC/PSMB10/EXOSC3/PSME1/PSMC4/PSMB6/ANGEL2/ZFP36/PSMB5/TNPO1/PSMD9/ANP32A/XRN1/YWHAB/PSMB3/DXO/PDE12/PSME4/ROCK1/DKC1/PSMC5/TIRAP/ZC3H12A/AKT1/XPO1/E2F1/PSMA6/THRAP3/CIRBP/PSMB1/PRKCA/PUM2/PAIP1/RBM10/VIM/UBA52/PSMA3",76
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","80/3831","178/17468",5.87919853575074e-12,3.63725050765902e-09,3.00221477544003e-09,"MOV10/HSPA1A/BTG2/YBX1/APEX1/HSPA8/ALKBH5/TOB1/IGF2BP1/PSMD1/PSMD11/DHX34/HSPB1/PABPC1/MTOR/KHSRP/HNRNPR/PSME3/EIF4G1/PSMD2/SET/PSMC1/PSMB2/YWHAZ/ZFP36L1/IGF2BP2/LARP1/PSMA7/CNOT7/HNRNPA0/PSMA4/PSMC2/PSMB7/PSMD3/PSMD10/SECISBP2/PSMC3/GDNF/PSMB4/HNRNPU/RBM24/ELAVL1/CARHSP1/UBC/PSMB10/EXOSC3/PSME1/PSMC4/PSMB6/ANGEL2/ZFP36/PSMB5/TNPO1/PSMD9/ANP32A/XRN1/YWHAB/PSMB3/PDE12/PSME4/ROCK1/PSMC5/TIRAP/PNPT1/ZC3H12A/AKT1/XPO1/E2F1/PSMA6/NANOS1/THRAP3/CIRBP/PSMB1/PRKCA/PUM2/PAIP1/RBM10/VIM/UBA52/PSMA3",80
"GO:0007005","GO:0007005","mitochondrion organization","167/3831","470/17468",5.94807932568932e-12,3.63725050765902e-09,3.00221477544003e-09,"HSPA1A/ATP8/ND2/ND3/ATP6/JUN/YWHAQ/ND5/SLC35F6/ND1/CALM3/UBE2L3/TIMM10/PARP1/VDAC1/HSD17B10/ND6/NDUFB2/VPS35/PMAIP1/PPIF/EIF4G1/PRELID1/YWHAE/ND4/COX17/CDK5/TFDP1/HMGCL/NDUFAF8/SESN2/GSK3A/MIEF1/YWHAZ/CCAR2/DMAC2/YWHAG/PARK7/HSPA1L/PHB/GCLM/ATG14/BAP1/BCL2L1/BAX/TOMM22/FEZ1/HCFC1/COA3/AIFM2/POLDIP2/NDUFS5/BCS1L/NDUFS2/FBXO7/POLRMT/NDUFB8/NECTIN2/TOMM34/LYRM7/PPRC1/PSMD10/PPP3R1/SAE1/TIMM23/CDC37/FIS1/SOD2/MARK2/TRIAP1/TOMM20/CNP/KAT2A/SCO2/FBXW7/HIGD1A/ATG13/TTC19/ATP5IF1/TP73/OPTN/MFF/AARS2/NDUFA8/CTTN/PIF1/TP53BP2/SH3GLB1/BAG3/TAZ/MIEF2/NDUFC2/CLU/SAMM50/GPER1/NDUFS6/PPARGC1A/BAD/TOMM40/GBA/NDUFB11/NDUFAF4/PRDX3/YWHAB/UBL5/BAK1/NDUFV2/RNF41/FLCN/AGK/FXN/THEM4/ARIH2/IFIT2/MTFP1/TIMM13/COX20/WDR81/ATP5PB/CLUH/GOLPH3/GCLC/ATP5MF/NDUFC1/PNPT1/MGME1/UQCC1/GPX1/RCC1L/DNA2/AKT1/MIGA2/SLC25A33/OPA1/TFAM/RAB32/SIRT5/NDUFAB1/TIMM9/ATP5MC3/COA4/RHOU/ATP13A2/E2F1/SLC25A6/TIMM50/ACAD9/MGARP/NDUFS8/ARRB2/ATP5F1B/MTERF1/DCN/TMEM14A/HAX1/NDUFB9/NDUFAF2/EPAS1/ESRRA/LRRK2/SLC25A46/UQCC3/NDUFB7/SUPV3L1/GABPA/NDUFA3/DDHD1",167
